domain,mean_abs_shap,model,share
Laboratory markers,0.04777731692572582,LightGBM_A,0.028203062370657197
Functional status,0.05294461947905809,LightGBM_A,0.0312533332016091
Inflammatory ratios,0.05573055442812555,LightGBM_A,0.03289787714390059
Surgical type,0.08564473391773594,LightGBM_A,0.05055628754028346
Comorbidity burden,0.11937075875123983,LightGBM_A,0.07046483919403863
Other,0.12252710934058529,LightGBM_A,0.0723280403585862
Small-airway function,0.17975646528537,LightGBM_A,0.10611066355721581
Pulmonary reserve,0.49906840077374665,LightGBM_A,0.2946012488756408
Demographics/body habitus,0.5312271732082193,LightGBM_A,0.3135846477580682
Comorbidity burden,0.015539784493912422,LightGBM_B,0.006118649331886011
Surgical type,0.029555306425469618,LightGBM_B,0.01163713409183557
Laboratory markers,0.03079082194061223,LightGBM_B,0.012123607130391774
Inflammatory ratios,0.07555281157270352,LightGBM_B,0.029748234940614963
Intraoperative management,0.10248307223297737,LightGBM_B,0.04035178104906007
Small-airway function,0.11685506393819801,LightGBM_B,0.04601062255226549
Other,0.1589795530761516,LightGBM_B,0.06259675844243492
Functional status,0.21931716109588076,LightGBM_B,0.08635414485549238
Pulmonary reserve,0.47583265259614105,LightGBM_B,0.1873547952378274
Demographics/body habitus,0.5453591459115608,LightGBM_B,0.21473022197166788
Intraoperative burden,0.7694756138212118,LightGBM_B,0.3029740503965235
